Sample_ID,Alloy_Type,Powder_Size_um,Powder_Morphology,Oxygen_Content_percent,Laser_Power_W,Scan_Speed_mm_s,Hatch_Spacing_mm,Layer_Thickness_um,Scan_Strategy,Preheat_Temp_C,Shielding_Gas_Flow_L_min,Melt_Pool_Width_um,Melt_Pool_Depth_um,Melt_Pool_Temp_C,Cooling_Rate_K_s,Energy_Density_J_mm3,Thermal_Gradient,Relative_Density_percent,Porosity_percent,Microhardness_HV,Surface_Roughness_Ra,Tensile_Strength_MPa,Yield_Strength_MPa,Elongation_percent,Defect_Count,Quality_Class
1,Near-Beta Ti,57.55,Irregular,0.143,191.48,1667.14,0.139,46.51,Island,166.55,21.48,96.0,60.42,1633.56,8283.09,50.96,88.26,96.33,4.94,356.08,6.74,1066.97,1018.67,10.65,7,Moderate
2,Ti-6Al-4V,33.99,Spherical,0.19,314.81,1238.31,0.15,50.58,Island,213.3,17.53,140.61,90.4,1560.05,7401.09,118.47,64.14,99.88,3.01,373.07,8.09,1202.2,943.25,5.99,12,Poor
3,Near-Beta Ti,29.75,Spherical,0.194,228.03,898.31,0.136,22.91,Island,119.35,25.97,143.79,62.85,1646.75,7284.61,58.66,53.16,98.24,1.75,377.9,3.04,1025.81,902.85,17.69,7,Poor
4,Near-Beta Ti,46.24,Spherical,0.138,216.43,1310.61,0.082,50.84,Island,86.45,14.4,204.97,60.58,1582.34,1266.9,74.15,14.37,97.41,0.66,405.13,9.24,830.17,755.37,13.46,0,Moderate
5,Ti-6Al-4V,27.95,Irregular,0.078,164.79,1269.46,0.106,45.57,Stripe,96.42,24.76,226.28,95.6,1606.27,5917.16,106.91,57.47,99.77,1.67,302.47,12.64,1290.16,948.29,11.19,1,Good
6,Ti-6Al-4V,32.6,Spherical,0.178,341.62,867.55,0.097,24.66,Chessboard,103.8,17.26,143.87,70.81,1813.28,9934.06,58.43,52.18,95.15,0.83,432.52,3.39,1272.54,942.07,5.47,4,Good
7,Near-Beta Ti,28.98,Spherical,0.205,370.67,1323.76,0.147,41.6,Stripe,129.65,24.16,102.24,63.6,1670.03,7769.94,96.92,93.71,96.92,3.86,390.88,5.63,932.75,890.29,13.6,8,Poor
8,Ti-5553,22.77,Spherical,0.178,354.96,1556.75,0.098,24.35,Chessboard,181.58,24.13,94.04,119.82,1791.87,8513.37,102.95,46.45,99.09,1.38,379.35,6.19,871.57,787.92,7.08,1,Excellent
9,Near-Beta Ti,53.1,Irregular,0.168,266.51,1567.33,0.146,32.86,Island,131.11,16.31,188.6,43.73,1424.54,5442.2,79.71,65.95,99.78,1.79,324.19,2.48,958.87,816.56,6.07,8,Good
10,Near-Beta Ti,30.18,Spherical,0.096,283.49,671.64,0.146,52.16,Stripe,208.71,28.69,164.66,122.73,1993.19,8487.96,78.99,92.32,98.92,1.66,318.15,7.77,1160.05,803.9,5.32,3,Excellent
